# NPC=10: Total hesitation points = 346
X,Y,Z
-54.810000,-1.620000,-1.600000
-54.940000,-1.570000,-1.930000
-55.370000,-1.570000,-2.550000
-119.540000,-1.590000,-1.820000
-131.640000,-1.570000,-2.120000
-196.490000,-1.570000,-2.020000
-196.500000,-1.570000,-2.000000
-196.510000,-1.570000,-1.980000
-196.520000,-1.570000,-1.980000
-196.720000,-1.570000,-2.100000
-196.900000,-1.570000,-2.120000
-198.460000,-1.300000,-2.040000
-198.470000,-1.310000,-2.050000
-216.390000,-1.570000,-2.320000
-216.390000,-1.570000,-2.320000
-216.400000,-1.570000,-2.320000
-216.500000,-1.570000,-1.850000
-216.950000,-1.600000,-1.800000
-218.470000,-2.630000,-1.580000
-218.510000,-2.870000,-1.250000
-218.930000,-2.870000,-1.310000
-227.580000,-2.870000,-1.370000
-142.500000,-1.620000,1.000000
-150.330000,-1.620000,-1.230000
-39.700000,-1.580000,-2.920000
-51.840000,-1.570000,-2.720000
-216.910000,-1.570000,-2.820000
-42.500000,-1.620000,1.000000
-49.920000,-1.570000,-2.910000
-65.520000,-1.570000,-2.550000
-119.390000,-1.570000,-2.790000
-156.300000,-1.570000,-2.320000
-42.500000,-1.620000,1.000000
-216.910000,-1.570000,-2.870000
-239.820000,-2.490000,-2.540000
-239.820000,-2.490000,-2.530000
-239.820000,-2.490000,-2.510000
-198.660000,-2.870000,-1.710000
-218.350000,-2.440000,-2.520000
-229.550000,-2.570000,-2.710000
-42.500000,-1.620000,1.000000
36.600000,-1.570000,-1.930000
31.670000,-2.870000,-1.770000
26.140000,-2.870000,-0.920000
26.760000,-2.650000,-0.540000
32.260000,-2.870000,-1.510000
31.230000,-1.570000,-2.830000
6.620000,-1.580000,-2.930000
-4.660000,-1.570000,-2.900000
-16.400000,-1.570000,-2.840000
-33.950000,-1.570000,-2.900000
-57.770000,-1.570000,-2.810000
-64.580000,-1.570000,-2.640000
-75.590000,-1.570000,-2.870000
-87.750000,-1.570000,-2.730000
-228.520000,-2.570000,-2.900000
-42.500000,-1.620000,1.000000
-42.490000,-1.620000,1.060000
-134.530000,-1.580000,-2.930000
-152.870000,-1.580000,-2.910000
-178.900000,-1.570000,-2.900000
-194.830000,-1.580000,-2.930000
-42.500000,-1.620000,1.000000
-42.560000,-1.620000,0.970000
-42.190000,-1.620000,0.830000
-42.240000,-1.620000,0.910000
-42.250000,-1.620000,0.900000
-43.890000,-1.620000,-0.270000
-43.750000,-1.620000,-0.500000
-131.110000,-1.580000,-2.930000
-228.100000,-2.570000,-2.880000
-42.500000,-1.620000,0.990000
7.860000,-1.620000,-0.040000
12.970000,-1.620000,-1.250000
26.840000,-1.570000,-2.350000
26.660000,-1.570000,-2.110000
26.480000,-2.870000,-1.600000
26.520000,-2.870000,-1.600000
